Player_ID,Player_Name,Team_Name,rating,apps,manOfTheMatch,goal,assistTotal,yellowCard,redCard,shotsPerGame,aerialWonPerGame,passSuccess,goalOwn,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,totalPassesPerGame,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame
5583,Cristiano Ronaldo,Portugal,7.006,38,0,33,0,2.0,1.0,6.2,0.8,91.39784946236558,0.0,,,0.6,,,,,0.2,,,1.0,0.6,0.6,18.6,0.2,0.6,
8280,Craig Gordon,Scotland,6.4127777777777775,9,0,0,0,0.0,0.0,,0.4444444444444444,52.84390233239338,0.0,,,,,1.0555555555555556,,,,,0.3333333333333333,,,0.5,27.666666666666668,,6.055555555555556,
11119,Lionel Messi,Argentina,7.8121190476190465,41,12,25,8,3.0,0.0,3.95,0.1714285714285714,83.43100209066425,0.0,0.9464285714285714,0.1428571428571428,0.4357142857142857,,0.25,1.0595238095238095,0.25,2.5166666666666666,2.6095238095238096,1.604761904761905,0.4547619047619047,2.2238095238095243,1.2904761904761903,42.35238095238095,1.0928571428571427,1.9761904761904765,0.6428571428571428
13754,Manuel Neuer,Germany,6.393606060606061,43,0,0,0,3.0,0.0,,0.0454545454545454,79.39317459883925,0.0,,,,,0.8636363636363636,0.0909090909090909,,,0.0909090909090909,0.3939393939393938,,,,30.779545454545453,,6.434090909090909,
20874,Luka Modric,Croatia,6.715343137254902,55,4,4,5,4.0,0.0,0.8766339869281046,0.4117647058823529,89.43525590228346,0.0,0.7361111111111112,0.687908496732026,0.4215686274509804,0.0588235294117647,0.698529411764706,0.4370915032679738,0.2389705882352941,1.097222222222222,0.4375,0.545751633986928,,0.3014705882352941,0.6135620915032679,46.213235294117645,0.687091503267974,2.975490196078431,0.2647058823529411
25191,Axel Witsel,Belgium,6.576354166666667,40,1,2,2,1.0,1.0,0.8125,0.9895833333333334,93.0561533803649,0.0,0.8854166666666666,0.9375,1.03125,1.0,1.25,0.90625,0.34375,0.53125,0.3125,1.15625,0.03125,0.546875,0.71875,28.27083333333333,,1.25,
26236,Kristoffer Nordfeldt,Sweden,6.994999999999999,20,0,0,1,4.0,0.0,,0.5,39.58333333333333,0.0,,,,,0.5,,,0.5,,0.5,,,,26.0,,6.25,
30966,Fernando Muslera,Uruguay,,9,0,0,0,2.0,0.0,,,,0.0,,,,,1.0,,,,,,,,,30.0,,4.0,
34069,Johny Placide,Haiti,,34,0,0,0,2.0,0.0,,,,0.0,,,,,,,,,,,,,,31.0,,6.0,
34350,Kosta Barbarouses,New Zealand,,25,0,5,0,1.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,
34693,Marko Arnautovic,Austria,6.879190476190476,26,3,10,3,2.0,0.0,2.395238095238095,0.7761904761904761,79.00990431425214,0.0,0.8571428571428572,0.4,0.9,,0.4714285714285714,0.2214285714285714,0.1,1.1476190476190478,0.6,0.8047619047619049,1.1095238095238094,0.65,1.319047619047619,18.78571428571429,,0.7,0.1
36469,Tommy Smith,New Zealand,,19,0,0,0,2.0,1.0,,,,0.0,,,,,,,,,,,,,,,,,
36745,David Ospina,Colombia,,4,0,0,0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,
37188,Yuto Nagatomo,Japan,,12,0,0,0,2.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,
37757,Hassan Al Haydos,Qatar,,6,0,2,0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,
39187,Ørjan Nyland,Norway,6.3873750000000005,18,0,0,0,1.0,0.0,,0.1625,69.3787826881352,0.0,,,,,0.9125,,,,,0.125,,0.2,,27.475,,6.391666666666667,
39722,David Alaba,Austria,6.476382575757576,25,0,0,1,3.0,0.0,0.4545454545454545,0.712121212121212,89.50184157466168,0.0,0.4292929292929292,0.75,0.1704545454545454,0.2613636363636363,1.450757575757576,0.4772727272727273,0.4469696969696969,1.375,0.375,,,,0.4242424242424242,46.42234848484849,1.25,3.0814393939393945,
42898,Michael Boxall,New Zealand,6.317142857142857,12,0,0,0,0.0,0.0,,0.8571428571428571,92.05298013245032,0.0,0.4285714285714285,1.2142857142857142,0.7142857142857143,,5.428571428571429,1.0,0.8571428571428571,,0.1428571428571428,0.7142857142857142,,1.0,0.6428571428571428,37.285714285714285,0.1428571428571428,1.0714285714285714,
43670,Lucas Mendes,Qatar,,6,0,0,0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,
44120,Pierre-Emerick Aubameyang,,6.7596944444444444,43,3,15,9,2.0,0.0,2.25,0.6541666666666667,74.95031769918903,,,,,,,,,,,,,,,,,,
44714,Mert Günok,Turkiye,6.20975,19,0,0,0,3.0,0.0,,0.225,68.08928571428572,0.0,,,,,0.6125,,,,,0.25,,,,20.5375,,3.125,
50835,Neymar,Brazil,6.9925,18,1,8,2,8.0,0.0,2.625,0.75,73.88535031847134,0.0,0.5,,1.5,,0.375,0.375,,2.125,1.0,4.5,0.75,2.0,4.0,39.25,1.0,1.75,0.125
53362,Camilo Vargas,Colombia,6.798333333333335,24,0,0,0,2.0,0.0,,0.1666666666666666,65.82914572864321,0.0,,,,,0.5,,,,,,,,,33.166666666666664,,6.0,
61610,Ricardo Rodríguez,Switzerland,6.544444444444444,43,0,0,1,3.0,0.0,0.1360708534621577,0.7318840579710145,85.29651114430537,0.0,0.9033816425120772,0.9341787439613528,1.0084541062801933,0.2906602254428341,2.3393719806763285,0.4516908212560386,0.1304347826086956,0.8538647342995169,0.1328502415458937,0.4613526570048309,,0.2946859903381642,0.4263285024154589,43.794082125603865,0.5760869565217391,1.7977053140096615,2.0
67114,Eloy Room,Curacao,,20,0,0,0,3.0,0.0,,,,0.0,,,,,3.0,,,,,,,,,28.0,,4.0,
67491,Jordan Ayew,Ghana,6.166428571428572,59,2,14,3,6.0,0.0,1.0595238095238095,1.0238095238095235,78.97286821705427,0.0,0.5952380952380952,0.2619047619047619,1.1666666666666667,0.0238095238095238,1.0476190476190477,0.3095238095238095,0.0714285714285714,0.6428571428571429,0.7976190476190477,1.380952380952381,0.1904761904761904,1.4047619047619049,2.095238095238096,8.142857142857142,0.3095238095238095,0.119047619047619,0.0238095238095238
68659,Jordan Henderson,England,6.423697916666667,43,0,1,3,6.0,0.0,0.1875,0.40625,85.62892386775695,0.0,0.7552083333333333,0.515625,0.3697916666666666,,0.6979166666666666,0.28125,0.21875,0.3802083333333333,0.09375,0.21875,0.03125,0.1875,0.5,35.67708333333333,0.4322916666666666,1.6927083333333337,0.0625
70291,Gaël Kakuta,DR Congo,7.300000000000001,14,1,3,1,0.0,0.0,2.5,0.5,75.0,0.0,,,1.0,,,,,1.0,0.5,,,0.5,1.5,18.0,,,0.5
70524,Ivan Perisic,Croatia,7.192583333333334,52,6,12,17,8.0,0.0,1.85,1.238888888888889,77.9041811552139,0.0,0.65,0.8722222222222222,0.6333333333333333,,1.3333333333333333,0.7583333333333333,0.1916666666666666,1.7027777777777775,0.5416666666666666,0.2861111111111111,0.325,0.4138888888888889,1.2472222222222222,28.48888888888889,1.1555555555555557,1.136111111111111,0.0958333333333333
71182,James Rodríguez,Colombia,7.355,47,2,7,8,2.0,0.0,1.4166666666666663,0.6666666666666666,85.04594820384294,0.0,0.8333333333333334,0.3333333333333333,0.5833333333333334,,0.1666666666666666,0.5,,2.833333333333333,0.5,1.1666666666666663,0.1666666666666666,0.75,1.1666666666666663,35.25,2.75,1.8333333333333333,0.4166666666666666
71824,Pascal Groß,Germany,6.608756618819777,45,1,1,5,3.0,0.0,0.7686602870813397,1.2892344497607655,87.75098601028608,0.0,1.157384370015949,0.6942583732057416,1.2140988835725677,,0.7604465709728868,0.570334928229665,0.2105263157894736,1.079824561403509,0.3106858054226475,0.5988038277511961,0.2105263157894736,0.5208931419457735,0.8153748006379585,43.8111004784689,0.8914673046251993,2.1813716108452947,0.0909090909090909
71968,Kim Seung-Gyu,South Korea,6.33,13,0,0,0,0.0,0.0,,,55.88235294117647,0.0,,,,,,,,,,,,,,34.0,,8.0,
72982,Valon Berisha,Iran,6.076666666666666,17,0,0,0,2.0,0.0,,,84.31372549019608,0.0,0.3333333333333333,0.3333333333333333,1.0,,,1.0,0.6666666666666666,,1.0,,,,0.6666666666666666,21.0,,2.1666666666666665,
73084,Kevin De Bruyne,Belgium,7.316388888888889,34,3,12,7,2.0,0.0,2.333333333333333,0.4999999999999999,82.87135040001756,0.0,0.9583333333333334,0.3703703703703704,0.6527777777777779,,0.2407407407407407,0.7777777777777778,,2.3666666666666667,0.9166666666666669,0.6666666666666667,0.1944444444444444,1.1777777777777778,0.9444444444444444,38.55555555555556,1.2333333333333334,2.194444444444444,0.3611111111111111
73380,Chris Wood,New Zealand,6.426,22,1,5,0,0.0,0.0,1.1666666666666667,2.0666666666666664,65.01516683518705,0.0,0.0666666666666666,0.0666666666666666,0.4,,0.8,0.6666666666666666,0.2333333333333333,1.511111111111111,0.0666666666666666,0.3,0.5333333333333333,0.7777777777777778,3.755555555555556,12.111111111111112,,0.1333333333333333,
73798,Thibaut Courtois,Belgium,6.812037878787879,59,3,0,2,1.0,0.0,,0.1960227272727272,79.71462861910558,0.0,0.03125,,0.03125,,1.234090909090909,0.09375,,0.1065340909090909,,0.1221590909090909,,,0.03125,25.13904671717172,,3.3628472222222228,
74790,Ryan Mendes,Cape Verde,6.342499999999999,16,0,1,0,0.0,0.0,1.75,1.25,73.13432835820896,0.0,1.375,0.5,0.75,,2.0,0.875,,0.5,0.75,1.125,2.0,1.0,1.625,17.375,0.5,0.75,
